group	framing	proposed	name	evidence
Medium shots — waist up	medium	S	Hard Rembrandt Editorial	crisp / frozen; rim / kicker rig
Medium shots — waist up	medium	S	Warm Backlit Silhouette II	rim / kicker rig
Medium shots — waist up	medium	S	Soft Frontal High-Key II	high-key sweep
Medium shots — waist up	medium	S	Warm Low-Key Split	crisp / frozen; rim / kicker rig
Medium shots — waist up	medium	S	Soft Glamour Loop	tier2: rim / back light
Medium shots — waist up	medium	C	Halation Rim	ambient fixture
Medium shots — waist up	medium	C	Halation Window	daylight; ambient fixture
Medium shots — waist up	medium	S	Faded Black Film	tier2: DEFAULT — studio look, no natural-light or atmosphere cue (judgement, flip if wrong)
Medium shots — waist up	medium	C	Push-Processed Grain	tier2: available light
Medium shots — waist up	medium	C	Warm Analog Daylight	daylight
Medium shots — waist up	medium	C	Halation Neon Bleed	neon / screen; ambient fixture
Medium shots — waist up	medium	-	Prism Refraction Edge	tier2: optical effect, not a fixture
Medium shots — waist up	medium	-	Anamorphic Blue Flare	tier2: lens flare, not a fixture
Medium shots — waist up	medium	-	Warm Lens Flare	tier2: lens flare, not a fixture
Medium shots — waist up	medium	-	Foreground Bokeh Veil	tier2: lens effect, not a fixture
Medium shots — waist up	medium	S	Split Focus Glow	crisp / frozen
Medium shots — waist up	medium	C	Window Blind Slats	tier2: window named
Medium shots — waist up	medium	C	Dappled Foliage	daylight
Medium shots — waist up	medium	S	Lattice Grid	modifier geometry
Medium shots — waist up	medium	S	Stained Glass Colour Cast	tier2: DEFAULT — studio look, no natural-light or atmosphere cue (judgement, flip if wrong)
Medium shots — waist up	medium	S	Broken Glass Shards	crisp / frozen
Medium shots — waist up	medium	S	Text Shadow Play	crisp / frozen
Medium shots — waist up	medium	-	Teal & Orange	tier2: grade only — keeps the existing light
Medium shots — waist up	medium	-	Bleach Bypass	tier2: grade only — keeps the existing light
Medium shots — waist up	medium	-	Cross Processed	tier2: grade only — keeps the existing light
Medium shots — waist up	medium	-	Muted Morandi	tier2: grade only — keeps the existing light
Medium shots — waist up	medium	-	Faded Pastel	tier2: grade only — keeps the existing light
Medium shots — waist up	medium	S	Icy Key	tier2: DEFAULT — studio look, no natural-light or atmosphere cue (judgement, flip if wrong)
Medium shots — waist up	medium	S	Frozen Split	crisp / frozen
Medium shots — waist up	medium	C	Cold Overcast	daylight
Medium shots — waist up	medium	S	Steel and Ice	tier2: DEFAULT — studio look, no natural-light or atmosphere cue (judgement, flip if wrong)
Medium shots — waist up	medium	C	Warm Window Glow	daylight
Medium shots — waist up	medium	S	Sunset Rim	tier2: rim / back light
Medium shots — waist up	medium	C	Golden Haze Flare	visible atmosphere
Medium shots — waist up	medium	C	Neon Sign Glow	neon / screen
Medium shots — waist up	medium	C	Split Neon Pink Cyan	neon / screen
Medium shots — waist up	medium	C	Window Neon Spill	neon / screen; daylight
Medium shots — waist up	medium	C	LED Panel Wash	tier2: LED panel
Full body	full	S	Cool Ripple Projection	tier2: separate background light
Full body	full	C	Hard Sunlight Graphic	tier2: sunlight named
Full body	full	S	Hard Split Backlight with Gel	crisp / frozen; gelled head
Full body	full	S	Hard Spot Chiaroscuro 3	tier2: focused head / gobo
Full body	full	S	Soft Key Rim-Lit Spotlight	crisp / frozen; rim / kicker rig
Full body	full	C	Dramatic Overhead Spotlight	visible atmosphere (outranks: crisp / frozen; gelled head)
Full body	full	S	Hard Caustic Key	crisp / frozen
Full body	full	S	Hard Patterned Chiaroscuro	tier2: gelled head
Full body	full	S	Hard Patterned Chiaroscuro 2	tier2: bare bulb / strobe
Full body	full	C	Rising Fog	visible atmosphere
Full body	full	C	Volumetric Shaft	visible atmosphere; daylight; projected beam
Full body	full	C	Silhouette Through Smoke	visible atmosphere
Full body	full	C	Fog with Practical Lamp	visible atmosphere; practical in shot
Full body	full	C	Victorian Window Gloom	daylight
Full body	full	C	Cathedral Shaft	visible atmosphere; daylight; projected beam
Full body	full	S	Moonlit Silver	crisp / frozen
Full body	full	S	White Cyc Wrap	high-key sweep
Full body	full	C	Sodium Street Orange	tier2: street lamp
Full body	full	S	Triadic Three-Colour	gelled head
Full body	full	S	Hard Warm Rim-lit	tier2: focused head / gobo
Full body	full	S	Hard Spotlight Glamour	high-key sweep; crisp / frozen
Full body	full	C	Tungsten Halation Night	ambient fixture
Full body	full	-	Starburst Highlight	tier2: aperture rendering, not a fixture
Full body	full	S	Circular Spot Falloff	tier2: focused head / gobo
Full body	full	S	Palm Frond Shadow	crisp / frozen
Full body	full	S	Doorway Slash	tier2: DEFAULT — studio look, no natural-light or atmosphere cue (judgement, flip if wrong)
Full body	full	C	Day for Night	daylight
Full body	full	C	Blue Hour Wash	daylight
Full body	full	C	Golden Hour Backlight	daylight
Full body	full	S	Low Sun Side Wash	crisp / frozen
Full body	full	S	Last Light Silhouette	tier2: DEFAULT — studio look, no natural-light or atmosphere cue (judgement, flip if wrong)
Full body	full	C	Blue Hour Street	practical in shot; daylight
Full body	full	C	Sodium and Neon Mix	neon / screen; ambient fixture
Full body	full	S	Overhead Spotlight Stage	crisp / frozen
Full body	full	C	Theatrical Front Spotlight	projected beam
Full body	full	C	Golden Rim in Smoke	visible atmosphere (outranks: rim / kicker rig)
